tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p50
24510120500,Greenmount West, Baltimore, MD,0.1426
24510180100,Poppleton, Baltimore, MD,0.1189
24510070400,Gay Street, Baltimore, MD,0.1039
24510070200,Madison - Eastend, Baltimore, MD,0.0987
24510200400,Shipley Hill, Baltimore, MD,0.097
24510080800,Broadway East, Baltimore, MD,0.0915
24510170300,Upton, Baltimore, MD,0.0897
24510080400,Broadway East, Baltimore, MD,0.0885
24510160200,Sandtown-Winchester, Baltimore, MD,0.0873
24510130100,Reservoir Hill, Baltimore, MD,0.0769
24510160100,Harlem Park, Baltimore, MD,0.073
24510160700,Rosemont, Baltimore, MD,0.0705
24510160801,Edmondson, Baltimore, MD,0.0695
24510190100,Franklin Square, Baltimore, MD,0.0694
24510150300,Coppin Heights, Baltimore, MD,0.0658
24510200702,Saint Joseph's, Baltimore, MD,0.0658
24510080700,Broadway East, Baltimore, MD,0.0639
24510260604,O'Donnell Heights, Baltimore, MD,0.0638
24510100100,Johnson Square, Baltimore, MD,0.0592
24510140300,Druid Heights, Baltimore, MD,0.058
24510200800,Irvington, Baltimore, MD,0.0578
24510200200,Lexington, Baltimore, MD,0.0571
24510260402,Frankford, Baltimore, MD,0.0565
24510120600,Old Goucher, Baltimore, MD,0.0557
24510090800,East Baltimore Midway, Baltimore, MD,0.0554
24510130300,Penn North, Baltimore, MD,0.0546
24510160802,Edmondson, Baltimore, MD,0.0539
24510151300,Central Park Heights, Baltimore, MD,0.0518
24510060300,Butchers Hill, Baltimore, MD,0.0513
24510260301,Belair - Edison, Baltimore, MD,0.051
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0509
24510140200,Upton, Baltimore, MD,0.0508
24510090900,Oliver, Baltimore, MD,0.0498
24510271700,Central Park Heights, Baltimore, MD,0.0498
24510170100,Downtown, Baltimore, MD,0.0485
24510150600,NW Community Action, Baltimore, MD,0.0467
24510150100,Sandtown-Winchester, Baltimore, MD,0.0467
24510080302,Berea, Baltimore, MD,0.0466
24510270903,Hillen, Baltimore, MD,0.046
24510260202,Parkside, Baltimore, MD,0.0459
24510280302,West Forest Park, Baltimore, MD,0.0456
24510110100,Downtown, Baltimore, MD,0.0452
24510170200,McCulloh Homes, Baltimore, MD,0.0447
24510280402,Rognel Heights, Baltimore, MD,0.0443
24510271400,Evergreen, Baltimore, MD,0.0437
24510120400,Barclay, Baltimore, MD,0.0434
24510250301,Westport, Baltimore, MD,0.0431
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0428
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.0428
24510080301,Berea, Baltimore, MD,0.0421
24510230200,South Baltimore, Baltimore, MD,0.0418
24510271600,Edgecomb, Baltimore, MD,0.0417
24510260203,Frankford, Baltimore, MD,0.0416
24510240300,Riverside, Baltimore, MD,0.0415
24510200100,Lexington, Baltimore, MD,0.0414
24510271801,Arlington, Baltimore, MD,0.0408
24510150702,Walbrook, Baltimore, MD,0.0406
24510130200,Reservoir Hill, Baltimore, MD,0.0403
24510280301,Gwynn Oak, Baltimore, MD,0.0392
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.038
24510080200,Broadway East, Baltimore, MD,0.038
24510260403,Cedonia, Baltimore, MD,0.0377
24510200500,Mill Hill, Baltimore, MD,0.0369
24510250102,Yale Heights, Baltimore, MD,0.0366
24510130400,Woodbrook, Baltimore, MD,0.0366
24510151000,Dorchester, Baltimore, MD,0.0363
24510260201,Frankford, Baltimore, MD,0.0353
24510190200,Pratt Monroe, Baltimore, MD,0.035
24510260700,Fifteenth Street, Baltimore, MD,0.0349
24005402405,Gwynn Oak, Baltimore, MD,0.0347
24510060100,Patterson Park, Baltimore, MD,0.0347
24510090400,Better Waverly, Baltimore, MD,0.0341
24510230300,South Baltimore, Baltimore, MD,0.0341
24510280200,Gwynn Oak, Baltimore, MD,0.034
24510270805,Mid-Govans, Baltimore, MD,0.0335
24510140100,Bolton Hill, Baltimore, MD,0.0332
24510271900,Glen, Baltimore, MD,0.0332
24510010100,Canton, Baltimore, MD,0.0327
24510010400,Canton, Baltimore, MD,0.0327
24510271002,Winston - Govans, Baltimore, MD,0.0326
24510270802,Ramblewood, Baltimore, MD,0.0325
24510080102,Belair - Edison, Baltimore, MD,0.0321
24510280500,Pleasant View Gardens, Baltimore, MD,0.032
