tract,Neighborhood,City ,State,Incarceration_Rate_rP_gP_p25
11001006600,Capitol Hill, Washington, DC,0.1244
11001004801,Northwest Washington, Washington, DC,0.1121
11001003302,Bloomingdale, Washington, DC,0.1068
11001003301,Bloomingdale, Washington, DC,0.1052
11001010900,Southwest Washington, Washington, DC,0.1039
11001001402,Northwest Washington, Washington, DC,0.095
11001006700,Southeast Washington, Washington, DC,0.0904
11001007401,Barry Farm, Washington, DC,0.0889
11001008802,Northeast Washington, Washington, DC,0.0852
11001007407,Barry Farm, Washington, DC,0.0839
11001008803,Northeast Washington, Washington, DC,0.0837
11001008402,Northeast Washington, Washington, DC,0.0829
11001004901,Northwest Washington, Washington, DC,0.0822
11001004702,Northwest Washington, Washington, DC,0.0816
11001007502,Southeast Washington, Washington, DC,0.0815
11001007601,Southeast Washington, Washington, DC,0.0794
11001009000,Fort Lincoln, Washington, DC,0.0785
11001010400,Southeast Washington, Washington, DC,0.0769
11001009810,Southeast Washington, Washington, DC,0.0752
11001006900,Southeast Washington, Washington, DC,0.0743
11001002202,Northwest Washington, Washington, DC,0.0737
11001006801,Hill East, Washington, DC,0.0732
11001009204,Edgewood, Washington, DC,0.0705
11001009802,Southeast Washington, Washington, DC,0.0692
11001009301,Northeast Washington, Washington, DC,0.0691
11001007200,Capitol Riverfront, Washington, DC,0.0679
11001007406,Southeast Washington, Washington, DC,0.0677
11001009603,Northeast Washington, Washington, DC,0.0674
11001008001,Northeast Washington, Washington, DC,0.0671
11001006400,Southwest Washington, Washington, DC,0.0669
11001009604,Northeast Washington, Washington, DC,0.0658
11001007708,Southeast Washington, Washington, DC,0.0654
11001009700,Southeast Washington, Washington, DC,0.065
11001004701,Northwest Washington, Washington, DC,0.0649
11001005900,Northwest Washington, Washington, DC,0.0626
11001007408,Southeast Washington, Washington, DC,0.0618
11001009811,Southeast Washington, Washington, DC,0.0617
11001009501,Northeast Washington, Washington, DC,0.0615
11001007901,Northeast Washington, Washington, DC,0.0603
11001001301,Northwest Washington, Washington, DC,0.06
11001002302,Northwest Washington, Washington, DC,0.0598
11001007804,Lincoln Heights, Washington, DC,0.0578
11001009902,Southeast Washington, Washington, DC,0.0575
11001008002,Northeast Washington, Washington, DC,0.0573
11001009102,Brentwood, Washington, DC,0.0567
11001007504,Historic Anacostia, Washington, DC,0.0564
11001002301,Northwest Washington, Washington, DC,0.0564
11001000902,Northwest Washington, Washington, DC,0.0548
11001006802,Barney Circle, Washington, DC,0.0547
11001007304,Congress Heights, Washington, DC,0.0545
11001007100,Southeast Washington, Washington, DC,0.0545
11001004400,Northwest Washington, Washington, DC,0.0542
11001002102,Northwest Washington, Washington, DC,0.0539
11001007806,Northeast Washington, Washington, DC,0.0538
11001007409,Southeast Washington, Washington, DC,0.0531
11001009801,Southeast Washington, Washington, DC,0.0531
11001007709,Fairlawn, Washington, DC,0.0529
11001008903,Carver / Langston, Washington, DC,0.0523
11001007803,Lower Central NE, Washington, DC,0.0513
11001009903,Southeast Washington, Washington, DC,0.0506
11001009203,Northeast Washington, Washington, DC,0.0503
11001008702,Eckington, Washington, DC,0.0501
11001009905,Marshall Heights, Washington, DC,0.0501
11001009906,Marshall Heights, Washington, DC,0.0497
11001003400,Howard University, Washington, DC,0.0496
11001003600,Columbia Heights, Washington, DC,0.0493
11001008701,Eckington, Washington, DC,0.0491
11001004802,Northwest Washington, Washington, DC,0.0491
11001009907,Southeast Washington, Washington, DC,0.0485
11001009505,Northeast Washington, Washington, DC,0.0479
11001011100,Northeast Washington, Washington, DC,0.0479
11001007703,Fort Dupont, Washington, DC,0.0478
11001003500,Northwest Washington, Washington, DC,0.0474
11001004201,Northwest Washington, Washington, DC,0.0471
11001003200,Northwest Washington, Washington, DC,0.047
11001007707,Benning Ridge, Washington, DC,0.0466
11001009901,Penn Branch, Washington, DC,0.0462
11001002101,Brightwood Park, Washington, DC,0.046
11001007403,Shipley, Washington, DC,0.0459
11001009904,Marshall Heights, Washington, DC,0.0457
11001002501,16th Street Heights, Washington, DC,0.0446
11001008100,Northeast Washington, Washington, DC,0.0442
11001003000,Columbia Heights, Washington, DC,0.0442
11001009602,Mayfair, Washington, DC,0.0439
11001010500,Southwest Washington, Washington, DC,0.0438
11001009504,Michigan Park, Washington, DC,0.0436
11001004300,Northwest Washington, Washington, DC,0.0435
11001008302,Northeast Washington, Washington, DC,0.0435
11001007605,Fairlawn, Washington, DC,0.0429
11001008410,Northeast Washington, Washington, DC,0.0411
11001007604,Southeast Washington, Washington, DC,0.041
11001009601,Kenilworth, Washington, DC,0.0401
11001009400,Northeast Washington, Washington, DC,0.0399
11001007404,Douglass, Washington, DC,0.0399
11001003100,Northwest Washington, Washington, DC,0.0399
11001005600,Northwest Washington, Washington, DC,0.0392
11001009804,Southeast Washington, Washington, DC,0.0392
11001007807,Northeast Washington, Washington, DC,0.038
11001011000,Southwest Washington, Washington, DC,0.0374
11001010300,Northwest Washington, Washington, DC,0.0373
11001008804,Northeast Washington, Washington, DC,0.037
11001002502,Northwest Washington, Washington, DC,0.0359
11001004600,Northwest Washington, Washington, DC,0.0354
11001009507,Northeast Washington, Washington, DC,0.0351
11001010600,Near Northeast, Washington, DC,0.0351
11001009508,Northeast Washington, Washington, DC,0.0349
11001009803,Congress Heights, Washington, DC,0.0343
11001007503,Historic Anacostia, Washington, DC,0.0334
11001001901,Brightwood, Washington, DC,0.033
11001001702,Northwest Washington, Washington, DC,0.0327
