tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p75
11001004802,Northwest Washington, Washington, DC,0.0808
11001007401,Barry Farm, Washington, DC,0.0779
11001007407,Barry Farm, Washington, DC,0.077
11001009804,Southeast Washington, Washington, DC,0.0739
11001004901,Northwest Washington, Washington, DC,0.0717
11001009810,Southeast Washington, Washington, DC,0.0684
11001008802,Northeast Washington, Washington, DC,0.0671
11001005900,Northwest Washington, Washington, DC,0.0664
11001007406,Southeast Washington, Washington, DC,0.0653
11001003500,Northwest Washington, Washington, DC,0.0652
11001008702,Eckington, Washington, DC,0.0628
11001004701,Northwest Washington, Washington, DC,0.0613
11001010900,Southwest Washington, Washington, DC,0.0602
11001006900,Southeast Washington, Washington, DC,0.0527
11001003600,Columbia Heights, Washington, DC,0.052
11001008803,Northeast Washington, Washington, DC,0.0467
11001009604,Northeast Washington, Washington, DC,0.0454
11001006802,Barney Circle, Washington, DC,0.0451
11001007903,Kingman Park, Washington, DC,0.0449
11001009602,Mayfair, Washington, DC,0.0446
11001009203,Northeast Washington, Washington, DC,0.0435
11001009400,Northeast Washington, Washington, DC,0.0427
11001009803,Congress Heights, Washington, DC,0.0419
11001004801,Northwest Washington, Washington, DC,0.0411
11001004600,Northwest Washington, Washington, DC,0.0404
11001003000,Columbia Heights, Washington, DC,0.0398
11001008903,Carver / Langston, Washington, DC,0.0391
11001001702,Northwest Washington, Washington, DC,0.0383
11001001803,Brightwood, Washington, DC,0.0377
11001007502,Southeast Washington, Washington, DC,0.0376
11001009903,Southeast Washington, Washington, DC,0.0375
11001002102,Northwest Washington, Washington, DC,0.0367
11001009801,Southeast Washington, Washington, DC,0.0357
11001009906,Marshall Heights, Washington, DC,0.0356
11001009201,Edgewood, Washington, DC,0.0353
11001003301,Bloomingdale, Washington, DC,0.0344
11001006400,Southwest Washington, Washington, DC,0.0341
11001009503,Northeast Washington, Washington, DC,0.0339
11001007806,Northeast Washington, Washington, DC,0.0328
11001002502,Northwest Washington, Washington, DC,0.0327
11001009905,Marshall Heights, Washington, DC,0.0313
11001002400,Northwest Washington, Washington, DC,0.0303
11001009807,Bellevue, Washington, DC,0.0294
11001001902,Manor Park, Washington, DC,0.0294
11001010400,Southeast Washington, Washington, DC,0.0293
11001009501,Northeast Washington, Washington, DC,0.0292
11001004202,Northwest Washington, Washington, DC,0.0291
11001007601,Southeast Washington, Washington, DC,0.0281
11001003400,Howard University, Washington, DC,0.0277
11001007803,Lower Central NE, Washington, DC,0.027
11001007200,Capitol Riverfront, Washington, DC,0.0268
11001008001,Northeast Washington, Washington, DC,0.0267
11001007703,Fort Dupont, Washington, DC,0.0267
11001004400,Northwest Washington, Washington, DC,0.0263
11001003302,Bloomingdale, Washington, DC,0.0244
11001009700,Southeast Washington, Washington, DC,0.0243
11001009907,Southeast Washington, Washington, DC,0.0242
11001009508,Northeast Washington, Washington, DC,0.0237
11001004201,Northwest Washington, Washington, DC,0.0224
11001003100,Northwest Washington, Washington, DC,0.0224
11001005002,Downtown, Washington, DC,0.0216
11001009601,Kenilworth, Washington, DC,0.0216
11001009902,Southeast Washington, Washington, DC,0.0214
11001002301,Northwest Washington, Washington, DC,0.0206
11001009603,Northeast Washington, Washington, DC,0.0206
11001007503,Historic Anacostia, Washington, DC,0.0202
11001009904,Marshall Heights, Washington, DC,0.0202
11001007605,Fairlawn, Washington, DC,0.02
11001010500,Southwest Washington, Washington, DC,0.0195
11001011100,Northeast Washington, Washington, DC,0.0189
11001007804,Lincoln Heights, Washington, DC,0.0188
11001007708,Southeast Washington, Washington, DC,0.0187
11001009509,Michigan Park, Washington, DC,0.0186
11001009802,Southeast Washington, Washington, DC,0.0182
11001002900,Northwest Washington, Washington, DC,0.018
11001006600,Capitol Hill, Washington, DC,0.0176
11001005001,Logan Circle, Washington, DC,0.017
11001009504,Michigan Park, Washington, DC,0.0168
11001000902,Northwest Washington, Washington, DC,0.0164
11001001301,Northwest Washington, Washington, DC,0.0164
11001010600,Near Northeast, Washington, DC,0.0157
11001007603,Southeast Washington, Washington, DC,0.0156
11001002201,Northwest Washington, Washington, DC,0.0156
11001009811,Southeast Washington, Washington, DC,0.0155
11001008701,Eckington, Washington, DC,0.0153
11001009901,Penn Branch, Washington, DC,0.0151
11001000400,Naval Observatory, Washington, DC,0.015
11001011000,Southwest Washington, Washington, DC,0.0148
11001002202,Northwest Washington, Washington, DC,0.0135
11001008904,Carver / Langston, Washington, DC,0.0131
11001007808,Grant Park, Washington, DC,0.0128
11001002802,Columbia Heights, Washington, DC,0.0126
11001010300,Northwest Washington, Washington, DC,0.0126
11001007408,Southeast Washington, Washington, DC,0.0125
11001009505,Northeast Washington, Washington, DC,0.0122
11001006500,Southeast Washington, Washington, DC,0.0122
11001008100,Northeast Washington, Washington, DC,0.0122
11001006700,Southeast Washington, Washington, DC,0.0119
11001007404,Douglass, Washington, DC,0.0116
11001000802,Northwest Washington, Washington, DC,0.0114
11001001600,Northwest Washington, Washington, DC,0.0112
11001007709,Fairlawn, Washington, DC,0.0109
11001001302,Forest Hills, Washington, DC,0.0108
11001000501,Northwest Washington, Washington, DC,0.0105
11001007807,Northeast Washington, Washington, DC,0.0104
11001000702,Northwest Washington, Washington, DC,0.0104
11001008002,Northeast Washington, Washington, DC,0.0103
11001007901,Northeast Washington, Washington, DC,0.0101
11001008804,Northeast Washington, Washington, DC,0.0101
11001002302,Northwest Washington, Washington, DC,0.01
11001001402,Northwest Washington, Washington, DC,0.0099
11001007304,Congress Heights, Washington, DC,0.0097
11001001901,Brightwood, Washington, DC,0.0094
11001002001,16th Street Heights, Washington, DC,0.0093
11001007707,Benning Ridge, Washington, DC,0.0087
